part_id,description,revision,category,quantity,required_or_optional,make_or_buy,material/specification,critical interface,approved MPN,approved alternative,donor status,supplier status,drawing,assembly step,firmware dependency,notes
FR-01,GGM R1 integrated profile cut set,final-design-fabrication-closure-v0.8,FRAME,1,REQUIRED,VERIFY_REUSE_OR_BUY,2020: 36 members / 15078 mm; 2040: 4 members / 2180 mm; member-by-member frame_cut_list.csv,profile joint squareness and table load path,NONE_APPROVED—exact make/model and receipt evidence pending,NONE_APPROVED—deviation requires interface review and affected recalculation/calibration,"UNVERIFIED—label, rating, shaft, condition and functional test required",USER_INVENTORY_VERIFICATION_REQUIRED,exports/final/frame_v08/FRAME_CUT_AND_TIE_KO.pdf,docs/final/complete_build_manual_ko.pdf step 2; docs/final/assembly_steps.csv,NONE,AUTHORITATIVE DESIGN SOURCE: bom/bom.csv; source=project lab; cash_class=REUSE_PENDING; status=UNVERIFIED; quantity_unit=each; GGM_FRAME_R1_REDUCED_20260912; nominal cuts before kerf/upper tolerance; actual stock unidentified; FR-TIE-01 separate; exports/final/frame_v08/FRAME_CUT_AND_TIE_KO.pdf
FR-TIE-01,formed steel bottom frame tie replacing 2020 L430,final-design-fabrication-closure-v0.8,FRAME,1,REQUIRED,MIXED,S275JR; finished U40x20x3 R3 x470; 4xD5.5 at X10/460 Y12/28,profile joint squareness and table load path,NONE_APPROVED—exact make/model and receipt evidence pending,NONE_APPROVED—deviation requires interface review and affected recalculation/calibration,NOT_APPLICABLE,SPECIFICATION_RELEASED—PROCUREMENT_NOT_APPROVED,exports/final/frame_v08/FR-TIE-01.svg,docs/final/complete_build_manual_ko.pdf step 2; docs/final/assembly_steps.csv,NONE,AUTHORITATIVE DESIGN SOURCE: bom/bom.csv; source=project-lab metal fabrication; cash_class=MAKE; status=DESIGNED_PHYSICAL_HOLD; quantity_unit=each; FR-TIE-01.step / FRAME_CUT_AND_TIE_KO.pdf; four M5x10 class8.8 with washer OD<=10 and compatible T-nut; received torque/engagement and P2 approval required
GD-01,cutter and hot-zone guards,final-design-fabrication-closure-v0.8,GUARD,1,REQUIRED,MIXED,metal sheet plus ABS cold covers,moving/hot hazard reach protection and service interlock,NONE_APPROVED—exact make/model and receipt evidence pending,NONE_APPROVED—deviation requires interface review and affected recalculation/calibration,NOT_APPLICABLE,SPECIFICATION_RELEASED—PROCUREMENT_NOT_APPROVED,docs/drawings/v0.8/GD-001_guards_panels.svg,docs/final/complete_build_manual_ko.pdf step 18; docs/final/assembly_steps.csv,hardware safety function; firmware monitoring only; never sole protection,AUTHORITATIVE DESIGN SOURCE: bom/bom.csv; source=mixed; cash_class=MIXED; status=DESIGNED; quantity_unit=lot; reach and fragment coupon pending
GGM_ChainGuard,GGM drive manufactured part: GGM_ChainGuard,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,1mm folded steel plus2x20x20 mounting tabs; twoM3 to front bearing plate; interlock required; process=1 mm 강판 절단/절곡 + 두 mounting tab,"기본 outer118 x24 x173, t1.0; 아래 전개 설명과 좌표 cutout을 따른다. STEP은 완성 외형.; 20 x10 x2 foot +20 x20 x2 upright tab2개를 용접. tab holeD3.40, front bearing plate에 M3x0.5.; 전면 개구는 두 bearing판의 실물 외곽으로 막혀야 한다. panel/plate gap0.30 nominal, 파편·손 접근 경로 확인.; 절곡 반경1.0, 각도90 +/-1deg. flat blank는 실제 절곡장비의 bend allowance로 계산; 외곽치수는 완성치수.; 전면 mounting2개 외 service cover 잠금과 NC interlock은 전기 안전회로에 연결. 현장 무단 제거 금지.; GGM delta: 기본 outer118 x24 x173, t1.0; 아래 전개 설명과 좌표 cutout을 따른다. STEP은 완성 외형.; 20 x10 x2 foot +20 x20 x2 upright tab2개를 용접. tab holeD3.40, front bearing plate에 M3x0.5.; 전면 개구는 두 bearing판의 실물 외곽으로 막혀야 한다. panel/plate gap0.30 nominal, 파편·손 접근 경로 확인.; 절곡 반경1.0, 각도90 +/-1deg. flat blank는 실제 절곡장비의 bend allowance로 계산; 외곽치수는 완성치수.; 전면 mounting2개 외 service cover 잠금과 NC interlock은 전기 안전회로에 연결. 현장 무단 제거 금지.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 8; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_CouplingGuard,GGM drive manufactured part: GGM_EX_CouplingGuard,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,"split metal cover: 2 formed halves, OD76x2 front flange, fourM3 mounts, 1mm seam; process=1 mm 강판 롤 + 2 mm half flange","shell OD50/ID48, 길이58.00 +/-0.30. R2에서 실제 t1에 맞춰 재료 표기를 정정.; 상하2개 half-cover, seam gap1.00 +/-0.20. front flange OD76/ID48 x2, 각 half에2개 M3 clearance.; 장착4개 좌표는 조립도 참조. flange와 shell은 연속 접합 후 버 제거. 통전 전 service interlock 실물 확인.; GGM delta: shell OD50/ID48, 길이58.00 +/-0.30. R2에서 실제 t1에 맞춰 재료 표기를 정정.; 상하2개 half-cover, seam gap1.00 +/-0.20. front flange OD76/ID48 x2, 각 half에2개 M3 clearance.; 장착4개 좌표는 조립도 참조. flange와 shell은 연속 접합 후 버 제거. 통전 전 service interlock 실물 확인.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_FuseInput,GGM drive manufactured part: GGM_EX_FuseInput,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,S45C hubs / brass uncalibrated pin blank; release target8.8-9.3Nm; process=선삭 + 키홈 + 드릴/탭,"S45C. 축방향 원점 Z0=입력 끝면, A=축 보어. Z0~22 OD28; Z22~26 OD46; Z26~30 OD20.; 보어 D12.050 +0.010/0 관통; 키홈 폭4.10 +0.03/0, 중심에서 홈 천장8.025. 외경/보어 TIR0.03.; 정합 pilot OD20.000 -0.020/0, Ra1.6. 정합부 축방향면 직각도0.03.; 전단핀 hole D3.10 +0.02/0, R16.00 +/-0.03. Z22부터 flange 관통; 출력허브와 조립 jig에서 match-drill.; Z12의 radial D3.30은 M4x0.7 탭드릴; 유효나사5 mm 이상. set screw는 축방향 유지, 토크는 키로 전달.; GGM delta: S45C. 축방향 원점 Z0=입력 끝면, A=축 보어. Z0~22 OD28; Z22~26 OD46; Z26~30 OD20.; 보어 D12.050 +0.010/0 관통; 키홈 폭4.10 +0.03/0, 중심에서 홈 천장8.025. 외경/보어 TIR0.03.; 정합 pilot OD20.000 -0.020/0, Ra1.6. 정합부 축방향면 직각도0.03.; 전단핀 hole D3.10 +0.02/0, R16.00 +/-0.03. Z22부터 flange 관통; 출력허브와 조립 jig에서 match-drill.; Z12의 radial D3.30은 M4x0.7 탭드릴; 유효나사5 mm 이상. set screw는 축방향 유지, 토크는 키로 전달.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_FuseOutput,GGM drive manufactured part: GGM_EX_FuseOutput,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,S45C hubs / brass uncalibrated pin blank; release target8.8-9.3Nm; process=선삭 + 키홈 + 드릴/탭,"S45C. 공통 결합 datum Z26.40~30.40 OD46, Z30.40~52.40 OD28; 전장26.00 +/-0.05.; 보어 D12.050 +0.010/0, key4.10 +0.03/0. 입력면 counterbore D20.100 +0.020/0, 깊이4.20 +/-0.05.; 전단핀 D3.10 +0.02/0, R16.00 +/-0.03. 입력허브와 match-drill. 양 flange 사이 축간극0.40 +/-0.10.; 공통 datum Z40.40 radial D3.30은 M4x0.7, 유효나사5 mm 이상. 외경/보어 TIR0.03.; 핀 파단 뒤 pilot이 걸리지 않도록 무하중 자유회전 확인. 이 구조는 압력 방출장치가 아니다.; GGM delta: S45C. 공통 결합 datum Z26.40~30.40 OD46, Z30.40~52.40 OD28; 전장26.00 +/-0.05.; 보어 D12.050 +0.010/0, key4.10 +0.03/0. 입력면 counterbore D20.100 +0.020/0, 깊이4.20 +/-0.05.; 전단핀 D3.10 +0.02/0, R16.00 +/-0.03. 입력허브와 match-drill. 양 flange 사이 축간극0.40 +/-0.10.; 공통 datum Z40.40 radial D3.30은 M4x0.7, 유효나사5 mm 이상. 외경/보어 TIR0.03.; 핀 파단 뒤 pilot이 걸리지 않도록 무하중 자유회전 확인. 이 구조는 압력 방출장치가 아니다.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_FusePinBlank,GGM drive manufactured part: GGM_EX_FusePinBlank,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,S45C hubs / brass uncalibrated pin blank; release target8.8-9.3Nm; process=황동봉 선삭 + 교차 드릴,"이 도면은 교정용 blank이며 운전용 전단핀 완성도가 아니다. 황동 lot를 구분한다.; 몸통 D3.00 -0.02/0 x11.70, 머리 D4.00 x1.00, 총12.70 +/-0.05.; 공통 coupling datum: 머리 Z20.70~21.70, 몸통21.70~33.40. 유지용 교차공 D0.90, 중심 Z32.00.; R16 단일 전단 가정에서 목경 약2.416~2.483 mm는 계산 참고값만 해당. 목경을 확정값으로 가공 발주하지 않는다.; 설계검증 종료와 별도 시험 승인 뒤, 실제 결합 coupon의 8.8~9.3 N.m 해제 결과로 목경/길이를 확정한다.; GGM delta: 이 도면은 교정용 blank이며 운전용 전단핀 완성도가 아니다. 황동 lot를 구분한다.; 몸통 D3.00 -0.02/0 x11.70, 머리 D4.00 x1.00, 총12.70 +/-0.05.; 공통 coupling datum: 머리 Z20.70~21.70, 몸통21.70~33.40. 유지용 교차공 D0.90, 중심 Z32.00.; R16 단일 전단 가정에서 목경 약2.416~2.483 mm는 계산 참고값만 해당. 목경을 확정값으로 가공 발주하지 않는다.; 설계검증 종료와 별도 시험 승인 뒤, 실제 결합 coupon의 8.8~9.3 N.m 해제 결과로 목경/길이를 확정한다.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_MotorKey,GGM drive manufactured part: GGM_EX_MotorKey,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,4x4 steel key; process=규격 키 stock 절단,"4x4: 길이25(2개),22(1),15(1),17(1). 6x6: 길이20(1개). 표의 bbox는 회전 배치 크기일 수 있다.; 4 mm 폭3.985~4.000, 6 mm 폭5.985~6.000; 높이는 nominal-0.03/0, 길이-0.20/0.; 키홈 천장과 키 상면0.10 이상 여유. 버 제거 C0.1, 억지 타격 금지. 실제 flank contact와 손회전 확인.; GGM delta: 4x4: 길이25(2개),22(1),15(1),17(1). 6x6: 길이20(1개). 표의 bbox는 회전 배치 크기일 수 있다.; 4 mm 폭3.985~4.000, 6 mm 폭5.985~6.000; 높이는 nominal-0.03/0, 길이-0.20/0.; 키홈 천장과 키 상면0.10 이상 여유. 버 제거 C0.1, 억지 타격 금지. 실제 flank contact와 손회전 확인.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_Mount,GGM drive manufactured part: GGM_EX_Mount,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,6 mm S275 plate; use catalog eccentric output datum; process=판재 절단 + 드릴,"S275 t6.00 +/-0.10. 120 x140 외곽 +/-0.20.; D36.50 +0.10/0, 4xD6.60 PCD104. 출력축 중심과 bolt-grid 중심은18.00 mm 다름.; 하부 2xD5.50 관통은 rail 체결. 도면 좌표를 따르고 기어박스 사각 중앙을 축으로 삼지 않는다.; A=모터 접촉면, B=출력축, C=바닥 모서리. 접촉면 평면도0.15.; R2: coupling cover 4xD2.50은 M3x0.5 관통탭, 유효5 mm 이상. 나사 끝단 돌출/모터 간섭 금지.; GGM delta: S275 t6.00 +/-0.10. 120 x140 외곽 +/-0.20.; D36.50 +0.10/0, 4xD6.60 PCD104. 출력축 중심과 bolt-grid 중심은18.00 mm 다름.; 하부 2xD5.50 관통은 rail 체결. 도면 좌표를 따르고 기어박스 사각 중앙을 축으로 삼지 않는다.; A=모터 접촉면, B=출력축, C=바닥 모서리. 접촉면 평면도0.15.; R2: coupling cover 4xD2.50은 M3x0.5 관통탭, 유효5 mm 이상. 나사 끝단 돌출/모터 간섭 금지.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_RadialCap,GGM drive manufactured part: GGM_EX_RadialCap,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,steel t2; ID27.4 outer-ring-only retainer; M3 screws; process=2 mm 판재 절단 + 드릴,"R2 변경: ID18에서 ID27.40 +0.10/0으로 수정. OD46.00 +/-0.10, t2.00 +/-0.05.; 2xD3.40 관통 PCD40. M3x10와 washer. 외륜만 유지하며 씰/내륜 접촉 금지.; 캡과 홀더의 선택 shim으로 axial endplay0.05~0.20. 강제로 조여 bearing을 pre-load하지 않는다.; GGM delta: R2 변경: ID18에서 ID27.40 +0.10/0으로 수정. OD46.00 +/-0.10, t2.00 +/-0.05.; 2xD3.40 관통 PCD40. M3x10와 washer. 외륜만 유지하며 씰/내륜 접촉 금지.; 캡과 홀더의 선택 shim으로 axial endplay0.05~0.20. 강제로 조여 bearing을 pre-load하지 않는다.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
GGM_EX_RadialHolder,GGM drive manufactured part: GGM_EX_RadialHolder,final-design-fabrication-closure-v0.8,DRIVE,1,REQUIRED,MAKE,S275 t10; bore32.03; 4x4.5; matching M4 in thrust plate; process=판재 보링/리머 + 드릴/탭,"S275 48 x48 x10.00 +/-0.05. 중심 D32.030 +/-0.010, Ra1.6.; 4xD4.50 관통, 38 x38 정사각. thrust plate의 대응 4개 M4x0.7과 결합.; 2xD2.50은 M3x0.5 캡용 관통탭, 유효6 mm 이상. 홀더 보어는 screw와 추력좌면 기준으로 정렬.; 베어링 정면을 압출 추력 전달면으로 사용하지 않는다. 지정된51102 경로를 유지.; GGM delta: S275 48 x48 x10.00 +/-0.05. 중심 D32.030 +/-0.010, Ra1.6.; 4xD4.50 관통, 38 x38 정사각. thrust plate의 대응 4개 M4x0.7과 결합.; 2xD2.50은 M3x0.5 캡용 관통탭, 유효6 mm 이상. 홀더 보어는 screw와 추력좌면 기준으로 정렬.; 베어링 정면을 압출 추력 전달면으로 사용하지 않는다. 지정된51102 경로를 유지.",NOT_APPLICABLE_CUSTOM,NONE_APPROVED—deviation requires drive-interface review,NOT_APPLICABLE,DIGITAL_DRAWING_PASS; PHYSICAL_NOT_RUN,exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf; exports/final/manufacturing/drive_ggm/PPR_GGM_MANUFACTURING_DRAWINGS_r2.pdf,docs/final/complete_build_manual_ko.pdf step 12; docs/final/assembly_steps.csv,GGM/BTS7960 released profile; commissioning calibration remains NOT_RUN,authoritative sub-manifest: exports/final/manufacturing/drive_ggm/manifest.csv; GGM drive delta drawing bound by drive_ggm manifest
